,出发地 , 目的地,价格 ,节省,路线名,酒店,房间,去程航司,去程方式,去程时间,回程航司,回程方式 ,回程时间
0,哈尔滨,北海,2208,650,哈尔滨-北海3天2晚 | 入住北海祥丰嘉年华大酒店 + 春秋航空往返机票,北海祥丰嘉年华大酒店 舒适型 4.7分/5分,标准双人间(双床) 双床 不含早 1间2晚,春秋航空 9C8741,直飞,17:10-21:50,春秋航空 9C8742,直飞,10:20-15:05
1,成都,泸沽湖,1145,376,成都-泸沽湖3天2晚 | 入住7天酒店丽江古城中心店 + 成都航空往返机票,7天酒店丽江古城中心店 经济型 4.0分/5分,经济房-不含早-限时特... 其他 不含早 1间2晚,成都航空 EU2237,直飞,19:45-21:20,成都航空 EU2738,直飞,23:30-01:05
2,广州,沈阳,2702,618,广州-沈阳3天2晚 | 入住沈阳中煤宾馆 + 南方航空/深圳航空往返机票,沈阳中煤宾馆 舒适型 4.5分/5分,大床间(内宾) 大床 双早 1间2晚,南方航空 CZ6384,直飞,08:05-11:45,深圳航空 ZH9652,经停,08:20-13:05
3,上海,九寨沟,1954,484,上海-九寨沟3天2晚 | 入住红原芸谊大酒店 + 成都航空往返机票,红原芸谊大酒店 舒适型 4.6分/5分,豪华双床房[双早] 双床 双早 1间2晚,成都航空 EU6678,直飞,21:55-01:15,成都航空 EU6677,直飞,17:45-20:35
4,广州,天津,1608,422,广州-天津3天2晚 | 入住天津逸海明珠大酒店 + 奥凯航空/海南航空往返机票,天津逸海明珠大酒店 高档型 4.1分/5分,豪华双床房(预付) 双床 不含早 1间2晚,奥凯航空 BK2787,直飞,06:55-10:00,海南航空 HU7201,直飞,20:15-23:25
5,长春,青岛,1580,390,长春-青岛3天2晚 | 入住青岛康大豪生大酒店 + 南方航空往返机票,青岛康大豪生大酒店 豪华型 4.6分/5分,精选房(大床)[酒店★... 大床 不含早 1间2晚,南方航空 CZ3938,直飞,20:00-21:55,南方航空 CZ3963,直飞,15:40-17:30
6,济南,九寨沟,1625,396,济南-九寨沟3天2晚 | 入住阿坝松潘松林酒店 + 中国国航/成都航空往返机票,阿坝松潘松林酒店 舒适型 4.3分/5分,豪华标准间(双床) 双床 不含早 1间2晚,中国国航 CA4528,直飞,21:00-23:30,成都航空 EU2719,直飞,06:55-09:25
7,宁波,重庆,1673,404,宁波-重庆3天2晚 | 入住重庆运通假日酒店汽博中心店 + 南方航空/四川航空往...,重庆运通假日酒店汽博中心店 舒适型 4.3分/5分,特惠房(大床) 大床 双早 1间2晚,南方航空 CZ8116,直飞,17:15-19:40,四川航空 3U8983,直飞,06:55-09:35
8,哈尔滨,南京,1170,340,哈尔滨-南京3天2晚 | 入住维也纳酒店南京南站汇景店 + 吉祥航空/厦门航空往...,维也纳酒店南京南站汇景店 舒适型 4.4分/5分,特惠大床房（无窗）[双... 大床 双早 1间2晚,吉祥航空 HO1651,直飞,17:10-20:00,厦门航空 MF8067,直飞,19:40-22:25
9,深圳,厦门,1311,350,深圳-厦门3天2晚 | 入住厦门泊旅时尚酒店会展中心店 + 海南航空往返机票,厦门泊旅时尚酒店会展中心店 舒适型 4.0分/5分,时尚标准双床房 双床 双早 1间2晚,海南航空 HU7065,直飞,07:30-08:40,海南航空 HU7066,直飞,15:30-16:40
10,厦门,沈阳,2231,606,厦门-沈阳3天2晚 | 入住沈阳东方银座国际酒店 + 深圳航空/海南航空往返机票,沈阳东方银座国际酒店 高档型 4.4分/5分,高级大床房(空气清新房... 大床 不含早 1间2晚,深圳航空 ZH9704,经停,17:20-22:10,海南航空 HU7048,直飞,14:15-17:45
11,哈尔滨,长沙,,472,哈尔滨-长沙3天2晚 | 入住长沙艾玛连锁酒店 + 海南航空/奥凯航空往返机票,长沙艾玛连锁酒店 舒适型 3.7分/5分,豪华双人间-不含早（预... 双床 不含早 1间2晚,海南航空 HU7726,经停,16:25-22:05,奥凯航空 BK2849,经停,07:15-12:50
12,重庆,厦门,1780,486,重庆-厦门3天2晚 | 入住宜尚酒店厦门机场高科技园店 + 西藏航空/厦门航空往...,宜尚酒店厦门机场高科技园店 舒适型 4.5分/5分,商务大床房 大床 双早 1间2晚,西藏航空 TV9869,直飞,18:35-21:10,厦门航空 MF8403,经停,06:50-10:45
13,杭州,西双版纳,1665,516,杭州-西双版纳3天2晚 | 入住西双版纳辉煌都畅大饭店 + 长龙航空/首都航空往...,西双版纳辉煌都畅大饭店 3.9分/5分,高级双床房[无早] 双床 不含早 1间2晚,长龙航空 GJ8823,经停,13:55-18:55,首都航空 JD5788,直飞,21:40-00:50
14,青岛,长沙,1784,450,青岛-长沙3天2晚 | 入住林之源酒店长沙井湾子店 + 青岛航/幸福航空往返机票,林之源酒店长沙井湾子店 舒适型 4.3分/5分,标准双人间(双床) 双床 不含早 1间2晚,青岛航 QW9775,直飞,06:20-08:40,幸福航空 JR2769,直飞,06:40-09:05
15,沈阳,长沙,1856,494,沈阳-长沙3天2晚 | 入住希岸酒店长沙民政学院店 + 海南航空/四川航空往返机票,希岸酒店长沙民政学院店 舒适型 4.5分/5分,希岸玲珑房(大床) 大床 不含早 1间2晚,海南航空 HU7330,经停,19:10-23:40,四川航空 3U8929,直飞,11:00-13:55
16,大连,上海,1003,314,大连-上海3天2晚 | 入住星程酒店上海松江体育中心店 + 春秋航空/吉祥航空往...,星程酒店上海松江体育中心店 舒适型 4.3分/5分,双床房A优惠(内宾) 双床 不含早 1间2晚,春秋航空 9C8978,直飞,16:05-17:55,吉祥航空 HO1161,直飞,07:20-09:30
17,广州,张家界,2062,608,广州-张家界3天2晚 | 入住张家界富蓝特主题酒店 + 南方航空往返机票,张家界富蓝特主题酒店 舒适型 4.4分/5分,标准双人间(超值抢)(... 双床 不含早 1间2晚,南方航空 CZ3227,直飞,11:40-13:20,南方航空 CZ3228,直飞,20:00-21:40
18,西安,呼和浩特,1040,330,西安-呼和浩特3天2晚 | 入住呼和浩特包钢海德酒店 + 瑞丽航空/天津航空往返...,呼和浩特包钢海德酒店 高档型 4.7分/5分,高级标间(双床) 双床 不含早 1间2晚,瑞丽航空 DR5319,直飞,09:45-11:30,天津航空 GS7656,直飞,23:05-00:50
19,哈尔滨,长沙,1791,470,哈尔滨-长沙3天2晚 | 入住长沙佳华酒店 + 海南航空/奥凯航空往返机票,长沙佳华酒店 舒适型 4.2分/5分,标准大床房(提前3小时... 大床 不含早 1间2晚,海南航空 HU7726,经停,16:25-22:05,奥凯航空 BK2849,经停,07:15-12:50
20,北京,西安,1194,,北京-西安3天2晚 | 入住西安圆梦主题酒店 + 东方航空/海南航空往返机票,西安圆梦主题酒店 舒适型 4.0分/5分,海底世界（无窗）(大床) 大床 不含早 1间2晚,东方航空 MU2120,直飞,21:15-23:25,海南航空 HU7738,直飞,23:05-00:55
21,深圳,张家界,2014,508,深圳-张家界3天2晚 | 入住张家界金洲大酒店 + 厦门航空/南方航空往返机票,张家界金洲大酒店 3.2分/5分,豪华双人间(双床) 双床 不含早 1间2晚,厦门航空 MF1773,直飞,22:15-23:50,南方航空 CZ3992,直飞,07:10-08:45
22,哈尔滨,青岛,1439,375,哈尔滨-青岛3天2晚 | 入住青岛栈桥王子饭店 + 青岛航/福州往返机票,青岛栈桥王子饭店 豪华型 4.3分/5分,都市双人大床房(无窗)... 大床 双早 1间2晚,青岛航 QW9784,直飞,22:45-00:50,福州 FU6658,直飞,22:20-00:20
23,南京,张家界,1126,318,南京-张家界3天2晚 | 入住张家界湘丽大酒店 + 吉祥航空往返机票,张家界湘丽大酒店 舒适型 3.8分/5分,豪华双人间(双床)(特... 双床 不含早 1间2晚,吉祥航空 HO1657,直飞,13:00-14:45,吉祥航空 HO1658,直飞,15:40-17:15
24,青岛,北京,1094,320,青岛-北京3天2晚 | 入住北京美第奇精选酒店 + 山东航空往返机票,北京美第奇精选酒店 高档型 4.7分/5分,标准间(今日特惠) 大/双床 不含早 1间2晚,山东航空 SC4653,直飞,12:45-14:15,山东航空 SC4650,直飞,23:05-00:30
25,上海,青岛,1609,448,上海-青岛3天2晚 | 入住青岛汇泉王朝大饭店 + 春秋航空/吉祥航空往返机票,青岛汇泉王朝大饭店 4.3分/5分,行政市景房[无早] 大/双床 不含早 1间2晚,春秋航空 9C8853,直飞,19:50-21:35,吉祥航空 HO1242,直飞,23:05-00:35
